id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
UgxcO93DSPIqyxg6Bi94AaABAg,2024-06-03T11:41:11Z,@yudhiwarso1902,Gak perlu debat pak.. 100% buat ladang korupsi baru. 100% bakal di korupsi.. kami rakyat sudah tak percaya pmerintahan.,Thread,http://www.youtube.com/@yudhiwarso1902,UCcOciNg4KPVMznuSZ7_rRFg,2024-06-03T11:41:11Z,,,,0
UgxqbGp7DtMyEfTn3H94AaABAg,2024-06-03T11:34:14Z,@oziwurino8847,Tapera adalah kbijakan rakuss,Thread,http://www.youtube.com/@oziwurino8847,UCyLmelxw5yyuWxNXogGxKkA,2024-06-03T11:34:14Z,,,,2
Ugy-qmztrOxISMEDded4AaABAg,2024-06-03T11:28:15Z,@lalahhasani3435,"Utulah perintah baru yg anda sanjung,enggak usah menyesal,makanya hanya diiming makan gratis bernafsu,Rasakan ini baru permula  aturan mereka",Thread,http://www.youtube.com/@lalahhasani3435,UC2xa3jDzJxFTqZ-b4h6BPWA,2024-06-03T11:28:15Z,,,,0
UgzsGx6tny_xmsnr6od4AaABAg,2024-06-03T10:55:09Z,@herawati7518,Apa orang cerdas ga ada menanyakan apakah yg dibangga banggakan  Frepot sudah dimiliki 51 dan smelter yg sudah banyak menguntungkan apakah rakyat yg harus diperas,Thread,http://www.youtube.com/@herawati7518,UCObw6MXyRPg_XsFCdHMxGCw,2024-06-03T10:55:09Z,,,,0
UgwcpkQvw-tLZ8O2Go94AaABAg,2024-06-03T10:53:08Z,@muhammadhutagalung7571,"Dana haji saja ditilep pak, apalagi Tapera. Pemiliknya orang2 lemah. Asabri saja ilang duitnya, pdhal uangnya orang2 yg pegang senjata. Oo",Thread,http://www.youtube.com/@muhammadhutagalung7571,UCkeLv7Xwv-c8hZ9hhlupJdg,2024-06-03T10:53:08Z,,,,0
UgybtfIlxEP5CzFYDbh4AaABAg,2024-06-03T10:49:59Z,@herawati7518,Apakah tabungan rumah pensiun TNI memang ada ? Jika ada apa sudah terbukti,Thread,http://www.youtube.com/@herawati7518,UCObw6MXyRPg_XsFCdHMxGCw,2024-06-03T10:49:59Z,,,,0
UgxCFaukItqSW5SvT254AaABAg,2024-06-03T10:46:23Z,@efriwahyudi1838,Tapera untuk penyelenggaranya..,Thread,http://www.youtube.com/@efriwahyudi1838,UCC_qaS3ERYkrcpZcb24-Lvg,2024-06-03T10:46:23Z,,,,0
UgxlubJ9t467o5FwYTV4AaABAg,2024-06-03T10:38:44Z,@idasuhaida5465,Tapera buat para pejabat u/ bisa di korupsi,Thread,http://www.youtube.com/@idasuhaida5465,UCdL_Hj3zBju2VSBMrWcon6A,2024-06-03T10:38:44Z,,,,0
Ugym6gZ29IQ5vf9SDEN4AaABAg,2024-06-03T10:31:13Z,@sabamsihombing7724,"asabri,jiwasraya,bumiputra, kemana🎉pemerintah tidur....",Thread,http://www.youtube.com/@sabamsihombing7724,UCusZp1AKmn4UagntSHyy9UA,2024-06-03T10:31:13Z,,,,0
Ugz2Mn3L4niAKtNwq6t4AaABAg,2024-06-03T10:10:30Z,@bungaadi6165,"Tapera itu Tabungan Penderitaan Rakyat, karena modusnya tabungan berkamuflase asuransi prakteknya seperti bandar judi togel. Ini adalah konspirasi elit untuk ancang-ancang korupsi.",Thread,http://www.youtube.com/@bungaadi6165,UCxIGSzuK01UrnLn_UakLPyw,2024-06-03T10:10:30Z,,,,0
UgxDdIzRJ3mvKQxePDZ4AaABAg,2024-06-03T10:08:32Z,@ratnawati446,"Lebih baik  TAPERA  ditiadakan  dan  bersihkan dari KORUPSI yg semakin kesini semakin menjamur  yang nilainya  sampai Triliunan Rupiah  ,  yang tentunya bisa sebagai pengganti TAPERA .

Jadi pemerintah jangan mencari sumber pendapatan dengan memeras rakyat  lagi",Thread,http://www.youtube.com/@ratnawati446,UC4E01Bv7JbzkAapp7wSKr8A,2024-06-03T10:08:32Z,,,,0
UgxRJfvx6CNCg0rhgbZ4AaABAg,2024-06-03T10:00:18Z,@Soeparmo77,"Pemerintah membuat peraturan pekerja disuruh menabung untuk membeli rumah kebijakan nya pemerintah memberatkan rakyat , disingkat Tapera artinya Tapera itu apa ,tetap persulit rakyat Indonesia.",Thread,http://www.youtube.com/@Soeparmo77,UCbyiwVSroR48huJ8DwIsVbQ,2024-06-03T10:00:18Z,,,,0
UgxKlYTO2vjKswbLoI14AaABAg,2024-06-03T09:56:03Z,@kimberlvy,Rakyat maobdi bikin apa lagi...buat apa uang nya pak de haseuuuh takyat udeh di bikin susah malah di bikin susah lagi,Thread,http://www.youtube.com/@kimberlvy,UCL8TqCqMDNIXBLmyKhpUyJA,2024-06-03T09:56:03Z,,,,0
UgzoQ8aL4SHme887FqJ4AaABAg,2024-06-03T09:52:45Z,@cepiro70,Tapera untuk para koruptor,Thread,http://www.youtube.com/@cepiro70,UCMao0eXE1gU7zMntj2t5PxA,2024-06-03T09:52:55Z,,,,0
Ugz-QAyTrFir4NtzEpp4AaABAg,2024-06-03T09:39:34Z,@KetutSubawa-n2v,"Bisa jadi buruh / kariawan pulang² ga bawa gaji jadinya , gaji udah seiprit banyak potongan ini & itu lagi 😭😭!! banyaknya potongan² gaji udh kecil mana harga² menjulang tinggi ???",Thread,http://www.youtube.com/@KetutSubawa-n2v,UCLlxvs_8neqeNUbpPx1zFpw,2024-06-03T09:39:34Z,,,,0
UgwK7jrN1uOmgk73e0F4AaABAg,2024-06-03T09:35:50Z,@budidarmawan9064,"Siapa yg mengusulkan? Biasanya ada rencana lain? 
Semuanya dikorup?",Thread,http://www.youtube.com/@budidarmawan9064,UC8ZavYSVRhTVcCTgEPwSMNw,2024-06-03T09:35:50Z,,,,0
